dualband,refurb_new,hnd_price,phones,models,hnd_webcap,Customer_ID
Y,N,149.9899902,3,3,WCMB,1000095
N,N,29.98999023,1,1,NA,1000096
Y,N,129.9899902,4,4,WCMB,1000097
Y,N,59.98999023,5,2,WCMB,1000098
Y,N,79.98999023,2,2,WCMB,1000099
Y,N,149.9899902,4,3,WCMB,1000100
Y,N,199.9899902,2,2,WCMB,1000101
Y,R,79.98999023,4,4,WCMB,1000102
N,N,29.98999023,2,1,NA,1000103
Y,N,199.9899902,7,7,WCMB,1000104
Y,N,199.9899902,4,4,WCMB,1000105
N,N,29.98999023,2,2,WC,1000106
N,N,29.98999023,2,1,NA,1000107
N,N,79.98999023,2,2,WC,1000108
Y,N,199.9899902,5,4,WCMB,1000109
N,N,79.98999023,11,5,WC,1000110
Y,R,39.98999023,24,5,WCMB,1000111
N,N,29.98999023,2,2,WC,1000112
N,N,29.98999023,1,1,NA,1000113
Y,R,99.98999023,5,4,WCMB,1000114
Y,R,79.98999023,9,4,WCMB,1000115
Y,N,29.98999023,3,2,NA,1000116
Y,N,149.9899902,3,2,WCMB,1000117
Y,N,199.9899902,11,6,WCMB,1000118
Y,R,9.989997864,4,4,NA,1000119
Y,N,149.9899902,2,2,WCMB,1000120
N,N,29.98999023,1,1,NA,1000121
Y,N,199.9899902,15,6,WCMB,1000122
Y,N,149.9899902,7,7,WCMB,1000123
Y,N,199.9899902,12,10,WCMB,1000124
Y,R,9.989997864,5,3,WC,1000125
Y,N,199.9899902,3,3,WCMB,1000126
N,N,29.98999023,4,2,WCMB,1000127
N,N,299.9899902,6,5,WCMB,1000128
Y,N,149.9899902,9,7,WCMB,1000129
Y,N,79.98999023,4,3,WCMB,1000130
Y,N,149.9899902,9,7,WCMB,1000131
Y,N,59.98999023,2,2,WCMB,1000132
Y,N,199.9899902,4,3,WCMB,1000133
N,N,79.98999023,4,2,WC,1000134
Y,N,149.9899902,3,3,WCMB,1000135
Y,N,99.98999023,2,2,WCMB,1000136
Y,N,199.9899902,4,4,WCMB,1000137
Y,N,59.98999023,3,3,WCMB,1000138
Y,N,59.98999023,5,4,WCMB,1000139
N,R,9.989997864,3,2,NA,1000140
N,N,29.98999023,1,1,NA,1000141
Y,N,79.98999023,3,2,WCMB,1000142
Y,N,149.9899902,11,6,WCMB,1000143
Y,N,79.98999023,6,4,WCMB,1000144
N,N,,2,2,WC,1000145
Y,N,29.98999023,4,3,WC,1000146
N,N,29.98999023,1,1,NA,1000147
N,R,79.98999023,9,6,WCMB,1000148
N,R,9.989997864,7,4,WCMB,1000149
Y,N,149.9899902,7,7,WCMB,1000150
N,R,29.98999023,11,4,WC,1000151
Y,R,29.98999023,5,4,WCMB,1000152
Y,N,59.98999023,7,5,WCMB,1000153
Y,N,499.9899902,8,4,WCMB,1000154
Y,N,29.98999023,5,5,WC,1000155
Y,R,79.98999023,14,8,WCMB,1000156
Y,N,199.9899902,4,3,WCMB,1000157
N,N,79.98999023,3,3,WC,1000158
N,R,29.98999023,6,4,WC,1000159
N,N,79.98999023,2,2,WC,1000160
N,N,29.98999023,1,1,NA,1000161
Y,N,149.9899902,11,6,WCMB,1000162
Y,N,29.98999023,2,2,WC,1000163
Y,N,149.9899902,2,2,WCMB,1000164
Y,N,149.9899902,6,5,WCMB,1000165
Y,N,79.98999023,6,4,WCMB,1000166
Y,N,149.9899902,3,3,WCMB,1000167
Y,N,59.98999023,4,3,WCMB,1000168
Y,N,149.9899902,5,2,WCMB,1000169
Y,N,149.9899902,4,4,WCMB,1000170
N,N,129.9899902,5,4,WCMB,1000171
N,N,29.98999023,4,3,WC,1000172
Y,N,149.9899902,5,5,WCMB,1000173
N,N,129.9899902,5,5,WCMB,1000174
N,N,29.98999023,1,1,NA,1000175
Y,N,149.9899902,6,5,WCMB,1000176
Y,N,149.9899902,6,4,WCMB,1000177
Y,N,149.9899902,6,6,WCMB,1000178
Y,R,99.98999023,8,6,WCMB,1000179
N,R,9.989997864,4,2,NA,1000180
Y,R,29.98999023,4,3,WCMB,1000181
Y,N,79.98999023,3,3,WCMB,1000182
Y,N,59.98999023,3,3,WCMB,1000183
Y,R,99.98999023,4,3,WCMB,1000184
Y,N,129.9899902,6,3,WCMB,1000185
Y,R,99.98999023,9,6,WCMB,1000186
Y,N,129.9899902,3,2,WCMB,1000187
N,R,9.989997864,2,2,WC,1000188
N,N,59.98999023,7,4,WC,1000189
Y,N,149.9899902,4,3,WCMB,1000190
N,R,,10,5,WC,1000191
N,N,29.98999023,1,1,NA,1000192
Y,N,199.9899902,4,3,WCMB,1000193
Y,R,79.98999023,9,5,WCMB,1000194
N,N,29.98999023,1,1,NA,1000195
Y,R,9.989997864,4,3,NA,1000196
Y,N,29.98999023,9,5,NA,1000197
N,N,29.98999023,1,1,NA,1000198
N,N,29.98999023,2,2,NA,1000199
Y,N,129.9899902,5,5,WCMB,1000200
N,N,29.98999023,1,1,NA,1000201
Y,N,129.9899902,5,4,WCMB,1000202
Y,N,199.9899902,7,7,WCMB,1000203
Y,N,79.98999023,2,2,WCMB,1000204
Y,R,99.98999023,4,4,WCMB,1000205
Y,N,29.98999023,4,4,WC,1000206
N,N,129.9899902,3,3,WCMB,1000207
N,N,29.98999023,1,1,NA,1000208
N,R,9.989997864,9,2,NA,1000209
Y,N,149.9899902,8,5,WCMB,1000210
Y,R,129.9899902,8,7,WCMB,1000211
Y,N,199.9899902,7,6,WCMB,1000212
Y,R,29.98999023,10,7,WCMB,1000213
N,N,29.98999023,1,1,NA,1000214
N,N,29.98999023,1,1,NA,1000215
T,N,99.98999023,5,3,WCMB,1000216
N,R,9.989997864,5,2,NA,1000217
N,N,29.98999023,1,1,NA,1000218
Y,N,199.9899902,10,8,WCMB,1000219
Y,R,79.98999023,10,6,WCMB,1000220
Y,N,59.98999023,3,3,WCMB,1000221
Y,N,149.9899902,4,3,WCMB,1000222
N,R,9.989997864,4,2,NA,1000223
N,R,9.989997864,12,4,NA,1000224
N,R,9.989997864,3,2,NA,1000225
N,N,29.98999023,1,1,NA,1000226
N,N,29.98999023,1,1,NA,1000227
N,N,29.98999023,2,2,NA,1000228
Y,N,199.9899902,5,4,WCMB,1000229
Y,N,199.9899902,5,5,WCMB,1000230
Y,N,79.98999023,6,4,WCMB,1000231
N,N,29.98999023,2,1,NA,1000232
T,N,199.9899902,11,8,WCMB,1000233
Y,R,99.98999023,4,3,WCMB,1000234
Y,N,149.9899902,5,5,WCMB,1000235
N,N,29.98999023,4,3,WC,1000236
Y,N,199.9899902,3,2,WCMB,1000237
N,R,29.98999023,4,4,WC,1000238
Y,N,199.9899902,14,9,WCMB,1000239
N,N,79.98999023,2,2,WC,1000240
N,N,59.98999023,3,3,WC,1000241
Y,N,199.9899902,5,5,WCMB,1000242
Y,N,149.9899902,10,5,WCMB,1000243
Y,N,149.9899902,5,4,WCMB,1000244
N,N,79.98999023,3,3,WC,1000245
Y,R,79.98999023,6,5,WCMB,1000246
Y,N,29.98999023,6,5,WC,1000247
Y,R,29.98999023,3,3,WCMB,1000248
Y,N,149.9899902,2,2,WCMB,1000249
Y,R,29.98999023,10,5,WCMB,1000250
Y,R,99.98999023,2,2,WCMB,1000251
Y,N,129.9899902,10,5,WCMB,1000252
N,N,29.98999023,1,1,NA,1000253
Y,N,199.9899902,6,3,WCMB,1000254
Y,N,59.98999023,4,3,WCMB,1000255
N,R,9.989997864,3,2,NA,1000256
Y,N,59.98999023,3,2,WCMB,1000257
Y,N,199.9899902,4,3,WCMB,1000258
Y,N,149.9899902,4,4,WCMB,1000259
N,N,29.98999023,1,1,NA,1000260
Y,N,129.9899902,3,3,WCMB,1000261
N,N,79.98999023,5,2,WC,1000262
N,N,29.98999023,1,1,NA,1000263
Y,N,149.9899902,9,5,WCMB,1000264
Y,N,149.9899902,4,3,WCMB,1000265
Y,N,199.9899902,5,5,WCMB,1000266
N,R,29.98999023,4,4,WC,1000267
Y,N,199.9899902,4,4,WCMB,1000268
Y,N,199.9899902,7,4,WCMB,1000269
Y,N,29.98999023,2,2,NA,1000270
Y,N,149.9899902,4,4,WCMB,1000271
Y,N,149.9899902,4,4,WCMB,1000272
Y,R,9.989997864,3,3,WC,1000273
Y,N,199.9899902,14,9,WCMB,1000274
Y,N,79.98999023,2,2,WCMB,1000275
N,N,29.98999023,1,1,NA,1000276
N,R,9.989997864,2,2,NA,1000277
Y,N,149.9899902,9,9,WCMB,1000278
Y,N,129.9899902,2,2,WCMB,1000279
N,N,29.98999023,3,2,WC,1000280
N,N,29.98999023,1,1,NA,1000281
N,N,129.9899902,5,5,WCMB,1000282
Y,N,149.9899902,7,5,WCMB,1000283
Y,R,99.98999023,8,5,WCMB,1000284
Y,N,149.9899902,7,5,WCMB,1000285
N,N,29.98999023,4,2,NA,1000286
Y,R,99.98999023,5,4,WCMB,1000287
N,N,29.98999023,1,1,NA,1000288
Y,R,9.989997864,5,4,NA,1000289
N,R,9.989997864,2,2,NA,1000290
N,R,9.989997864,2,2,NA,1000291
Y,N,29.98999023,5,4,NA,1000292
Y,N,149.9899902,4,4,WCMB,1000293
N,N,29.98999023,2,1,NA,1000294
Y,R,79.98999023,7,5,WCMB,1000295
Y,R,129.9899902,8,8,WCMB,1000296
Y,R,129.9899902,6,5,WCMB,1000297
N,N,29.98999023,1,1,NA,1000298
N,N,29.98999023,2,2,WC,1000299
T,N,99.98999023,4,4,WCMB,1000300
Y,N,29.98999023,8,6,WC,1000301
Y,N,129.9899902,6,5,WCMB,1000302
N,N,29.98999023,2,2,NA,1000303
Y,R,99.98999023,4,3,WCMB,1000304
Y,N,29.98999023,3,2,NA,1000305
Y,N,79.98999023,5,4,WCMB,1000306
Y,N,149.9899902,5,4,WCMB,1000307
Y,N,199.9899902,2,2,WCMB,1000308
N,N,29.98999023,4,3,WC,1000309
Y,N,199.9899902,9,6,WCMB,1000310
T,N,99.98999023,9,5,WCMB,1000311
Y,R,29.98999023,3,3,WCMB,1000312
N,N,29.98999023,3,3,WCMB,1000313
N,R,79.98999023,10,6,WCMB,1000314
Y,N,129.9899902,13,5,WCMB,1000315
Y,N,199.9899902,8,5,WCMB,1000316
N,R,9.989997864,2,2,NA,1000317
Y,N,149.9899902,8,4,WCMB,1000318
Y,R,29.98999023,7,5,WCMB,1000319
N,N,29.98999023,2,2,NA,1000320
N,R,9.989997864,5,3,NA,1000321
Y,N,199.9899902,8,4,WCMB,1000322
Y,R,79.98999023,5,5,WCMB,1000323
N,N,29.98999023,7,4,WC,1000324
Y,R,99.98999023,9,6,WCMB,1000325
N,N,29.98999023,1,1,NA,1000326
Y,N,59.98999023,4,4,WCMB,1000327
Y,N,199.9899902,4,3,WCMB,1000328
N,N,129.9899902,3,3,WCMB,1000329
Y,R,29.98999023,5,5,WCMB,1000330
N,N,129.9899902,7,5,WCMB,1000331
N,N,29.98999023,3,3,WCMB,1000332
Y,N,149.9899902,6,5,WCMB,1000333
Y,N,29.98999023,6,4,WC,1000334
T,N,99.98999023,3,2,WCMB,1000335
T,N,99.98999023,3,3,WCMB,1000336
N,N,29.98999023,1,1,NA,1000337
N,R,9.989997864,3,3,NA,1000338
N,R,9.989997864,2,2,NA,1000339
Y,N,129.9899902,5,4,WCMB,1000340
Y,N,199.9899902,8,5,WCMB,1000341
Y,N,129.9899902,12,7,WCMB,1000342
Y,N,149.9899902,3,2,WCMB,1000343
N,N,29.98999023,4,3,NA,1000344
Y,N,149.9899902,3,3,WCMB,1000345
N,N,29.98999023,1,1,NA,1000346
Y,R,29.98999023,4,4,WCMB,1000347
Y,N,129.9899902,3,3,WCMB,1000348
Y,R,9.989997864,3,3,NA,1000349
N,N,9.989997864,6,4,NA,1000350
Y,N,79.98999023,6,5,WCMB,1000351
Y,N,199.9899902,7,4,WCMB,1000352
Y,R,29.98999023,7,5,WCMB,1000353
N,R,9.989997864,3,2,NA,1000354
Y,N,149.9899902,8,6,WCMB,1000355
Y,N,149.9899902,3,2,WCMB,1000356
Y,N,149.9899902,4,4,WCMB,1000357
N,R,29.98999023,3,3,WC,1000358
N,N,29.98999023,2,2,NA,1000359
N,N,79.98999023,3,3,WC,1000360
Y,N,79.98999023,4,4,WCMB,1000361
Y,N,149.9899902,6,4,WCMB,1000362
Y,N,79.98999023,8,5,WCMB,1000363
N,N,129.9899902,13,8,WCMB,1000364
Y,N,149.9899902,8,3,WCMB,1000365
Y,N,29.98999023,3,3,WC,1000366
Y,N,149.9899902,2,2,WCMB,1000367
Y,N,79.98999023,4,4,WCMB,1000368
Y,N,199.9899902,8,5,WCMB,1000369
Y,N,149.9899902,5,5,WCMB,1000370
Y,N,199.9899902,3,3,WCMB,1000371
Y,N,29.98999023,4,3,NA,1000372
Y,N,129.9899902,2,2,WCMB,1000373
Y,N,149.9899902,4,3,WCMB,1000374
Y,N,149.9899902,8,4,WCMB,1000375
Y,N,149.9899902,2,2,WCMB,1000376
N,N,29.98999023,1,1,NA,1000377
N,N,29.98999023,4,2,NA,1000378
Y,R,99.98999023,3,3,WCMB,1000379
N,N,79.98999023,2,2,WC,1000380
Y,N,129.9899902,3,3,WCMB,1000381
T,N,99.98999023,3,3,WCMB,1000382
Y,N,149.9899902,2,2,WCMB,1000383
N,N,29.98999023,4,4,WCMB,1000384
N,N,129.9899902,6,4,WCMB,1000385
Y,N,129.9899902,6,5,WCMB,1000386
Y,N,149.9899902,10,4,WCMB,1000387
N,N,29.98999023,2,2,NA,1000388
T,N,99.98999023,3,3,WCMB,1000389
Y,R,9.989997864,5,4,NA,1000390
N,N,79.98999023,3,2,WC,1000391
Y,R,129.9899902,6,5,WCMB,1000392
N,N,29.98999023,1,1,NA,1000393
N,R,9.989997864,4,2,NA,1000394
N,N,29.98999023,2,2,WCMB,1000395
N,N,29.98999023,1,1,NA,1000396
Y,N,79.98999023,3,2,WCMB,1000397
N,R,39.98999023,3,3,WC,1000398
Y,R,99.98999023,6,5,WCMB,1000399
N,R,9.989997864,9,4,NA,1000400
N,N,129.9899902,4,3,WCMB,1000401
N,R,9.989997864,6,5,WCMB,1000402
Y,N,249.9899902,8,8,WCMB,1000403
N,R,9.989997864,3,2,NA,1000404
N,N,29.98999023,2,2,NA,1000405
N,N,79.98999023,6,3,WC,1000406
N,N,29.98999023,2,2,WCMB,1000407
Y,R,99.98999023,17,6,WCMB,1000408
N,N,79.98999023,16,6,WC,1000409
Y,R,99.98999023,6,4,WCMB,1000410
Y,N,149.9899902,3,3,WCMB,1000411
Y,N,199.9899902,3,3,WCMB,1000412
Y,N,79.98999023,7,3,WCMB,1000413
Y,N,79.98999023,4,2,WCMB,1000414
N,N,29.98999023,1,1,NA,1000415
Y,N,149.9899902,6,4,WCMB,1000416
Y,R,99.98999023,4,4,WCMB,1000417
Y,R,99.98999023,4,4,WCMB,1000418
Y,N,29.98999023,2,2,NA,1000419
Y,R,99.98999023,10,6,WCMB,1000420
Y,N,79.98999023,4,3,WCMB,1000421
N,N,,10,4,WC,1000422
N,N,29.98999023,9,2,WC,1000423
Y,N,199.9899902,4,3,WCMB,1000424
N,N,29.98999023,7,3,WCMB,1000425
Y,N,199.9899902,3,3,WCMB,1000426
Y,N,199.9899902,3,3,WCMB,1000427
Y,R,99.98999023,3,3,WCMB,1000428
N,N,29.98999023,1,1,NA,1000429
Y,N,79.98999023,4,4,WCMB,1000430
N,N,29.98999023,7,4,NA,1000431
Y,N,199.9899902,10,6,WCMB,1000432
Y,N,129.9899902,4,4,WCMB,1000433
Y,N,79.98999023,7,3,WCMB,1000434
N,N,29.98999023,1,1,NA,1000435
N,R,9.989997864,4,4,WC,1000436
N,R,9.989997864,2,2,NA,1000437
T,N,99.98999023,14,6,WCMB,1000438
Y,N,149.9899902,4,4,WCMB,1000439
Y,N,29.98999023,2,2,NA,1000440
Y,N,149.9899902,2,2,WCMB,1000441
Y,N,149.9899902,5,5,WCMB,1000442
Y,N,59.98999023,2,2,WCMB,1000443
Y,R,99.98999023,9,4,WCMB,1000444
N,N,129.9899902,3,3,WCMB,1000445
N,N,29.98999023,2,1,NA,1000446
N,N,29.98999023,1,1,NA,1000447
Y,R,29.98999023,11,7,WCMB,1000448
N,N,29.98999023,8,4,WC,1000449
N,N,29.98999023,1,1,NA,1000450
Y,N,29.98999023,6,3,WC,1000451
Y,N,149.9899902,4,4,WCMB,1000452
Y,N,199.9899902,7,4,WCMB,1000453
Y,N,29.98999023,2,2,NA,1000454
N,N,29.98999023,5,2,WC,1000455
Y,N,149.9899902,10,5,WCMB,1000456
N,N,,9,8,WC,1000457
Y,N,149.9899902,6,4,WCMB,1000458
Y,N,149.9899902,2,2,WCMB,1000459
N,N,29.98999023,1,1,NA,1000460
T,N,99.98999023,7,4,WCMB,1000461
N,N,29.98999023,2,1,NA,1000462
T,N,199.9899902,4,4,WCMB,1000463
U,N,,2,2,UNKW,1000464
Y,R,99.98999023,6,4,WCMB,1000465
N,N,29.98999023,1,1,NA,1000466
Y,N,79.98999023,4,3,WCMB,1000467
Y,N,149.9899902,2,2,WCMB,1000468
N,N,59.98999023,3,3,WC,1000469
Y,N,59.98999023,4,4,WCMB,1000470
N,N,79.98999023,3,3,WC,1000471
N,R,9.989997864,2,2,NA,1000472
N,N,29.98999023,5,4,WCMB,1000473
Y,N,129.9899902,9,4,WCMB,1000474
Y,N,59.98999023,3,3,WCMB,1000475
Y,N,79.98999023,6,4,WCMB,1000476
N,N,29.98999023,1,1,NA,1000477
N,N,129.9899902,2,2,WCMB,1000478
T,R,99.98999023,10,6,WCMB,1000479
Y,N,79.98999023,3,2,WCMB,1000480
Y,N,149.9899902,5,3,WCMB,1000481
N,N,29.98999023,1,1,NA,1000482
Y,R,99.98999023,7,4,WCMB,1000483
Y,N,29.98999023,4,3,NA,1000484
Y,N,199.9899902,9,7,WCMB,1000485
Y,N,129.9899902,5,3,WCMB,1000486
N,N,29.98999023,3,2,WCMB,1000487
N,R,79.98999023,4,4,WCMB,1000488
N,N,79.98999023,2,2,WC,1000489
Y,N,129.9899902,18,10,WCMB,1000490
Y,N,199.9899902,7,4,WCMB,1000491
Y,R,129.9899902,19,9,WCMB,1000492
N,N,29.98999023,10,7,NA,1000493
Y,N,199.9899902,6,5,WCMB,1000494
Y,N,199.9899902,6,4,WCMB,1000495
Y,N,79.98999023,2,2,WCMB,1000496
N,N,29.98999023,1,1,NA,1000497
Y,N,129.9899902,6,5,WCMB,1000498
N,R,9.989997864,8,6,WCMB,1000499
Y,N,199.9899902,5,4,WCMB,1000500
N,R,9.989997864,2,2,NA,1000501
Y,N,29.98999023,2,2,NA,1000502
Y,N,149.9899902,7,4,WCMB,1000503
N,N,29.98999023,1,1,NA,1000504
N,N,29.98999023,1,1,NA,1000505
Y,N,199.9899902,4,4,WCMB,1000506
Y,R,79.98999023,4,4,WCMB,1000507
Y,R,9.989997864,8,5,NA,1000508
N,N,29.98999023,3,2,WC,1000509
Y,N,149.9899902,3,2,WCMB,1000510
Y,N,79.98999023,6,3,WCMB,1000511
Y,R,99.98999023,8,5,WCMB,1000512
Y,N,149.9899902,4,3,WCMB,1000513
Y,N,59.98999023,4,3,WCMB,1000514
Y,N,149.9899902,12,6,WCMB,1000515
Y,N,199.9899902,4,3,WCMB,1000516
T,N,99.98999023,5,4,WCMB,1000517
Y,N,199.9899902,3,3,WCMB,1000518
Y,R,29.98999023,4,4,WCMB,1000519
Y,R,99.98999023,6,5,WCMB,1000520
N,N,29.98999023,3,3,WCMB,1000521
Y,R,39.98999023,2,2,WCMB,1000522
T,N,99.98999023,13,7,WCMB,1000523
N,N,29.98999023,1,1,NA,1000524
Y,N,59.98999023,6,4,WCMB,1000525
N,N,29.98999023,2,1,NA,1000526
Y,N,199.9899902,5,4,WCMB,1000527
N,N,29.98999023,1,1,NA,1000528
N,R,9.989997864,4,3,WC,1000529
N,N,29.98999023,1,1,NA,1000530
N,N,129.9899902,3,3,WCMB,1000531
N,R,9.989997864,3,2,NA,1000532
Y,N,29.98999023,3,3,WC,1000533
N,N,29.98999023,1,1,NA,1000534
Y,N,199.9899902,5,4,WCMB,1000535
N,N,29.98999023,4,4,NA,1000536
Y,N,79.98999023,4,3,WCMB,1000537
N,N,129.9899902,4,3,WCMB,1000538
Y,N,29.98999023,4,3,WC,1000539
N,N,29.98999023,2,2,WC,1000540
Y,N,29.98999023,4,3,NA,1000541
Y,N,29.98999023,4,3,NA,1000542
N,N,29.98999023,8,3,NA,1000543
N,N,129.9899902,8,7,WCMB,1000544
Y,N,59.98999023,4,4,WCMB,1000545
Y,N,59.98999023,5,5,WCMB,1000546
N,R,39.98999023,5,5,WC,1000547
Y,N,,2,2,WCMB,1000548
N,R,9.989997864,4,4,NA,1000549
Y,N,29.98999023,3,3,WC,1000550
Y,R,9.989997864,11,5,WC,1000551
Y,N,59.98999023,2,2,WCMB,1000552
Y,N,199.9899902,8,6,WCMB,1000553
N,N,29.98999023,1,1,NA,1000554
N,R,9.989997864,3,2,NA,1000555
N,N,79.98999023,6,5,WC,1000556
N,N,29.98999023,1,1,NA,1000557
T,N,199.9899902,3,3,WCMB,1000558
Y,N,149.9899902,7,3,WCMB,1000559
Y,R,79.98999023,9,5,WCMB,1000560
Y,N,149.9899902,5,3,WCMB,1000561
Y,N,199.9899902,13,6,WCMB,1000562
Y,N,199.9899902,6,5,WCMB,1000563
Y,N,149.9899902,3,3,WCMB,1000564
Y,N,199.9899902,3,3,WCMB,1000565
Y,N,199.9899902,5,4,WCMB,1000566
Y,R,29.98999023,4,4,WCMB,1000567
Y,N,199.9899902,4,4,WCMB,1000568
Y,N,129.9899902,9,4,WCMB,1000569
Y,N,149.9899902,5,5,WCMB,1000570
N,R,9.989997864,4,4,WCMB,1000571
Y,R,29.98999023,7,5,WCMB,1000572
Y,N,149.9899902,3,3,WCMB,1000573
U,N,,4,4,UNKW,1000574
T,N,99.98999023,5,4,WCMB,1000575
Y,N,199.9899902,4,3,WCMB,1000576
Y,N,199.9899902,10,8,WCMB,1000577
Y,N,29.98999023,5,3,WC,1000578
N,N,29.98999023,1,1,NA,1000579
Y,N,149.9899902,3,3,WCMB,1000580
N,N,29.98999023,1,1,NA,1000581
Y,R,99.98999023,5,5,WCMB,1000582
N,N,129.9899902,7,6,WCMB,1000583
Y,N,79.98999023,3,3,WCMB,1000584
N,N,29.98999023,3,3,NA,1000585
N,R,29.98999023,8,5,WC,1000586
N,N,29.98999023,1,1,NA,1000587
Y,N,129.9899902,3,3,WCMB,1000588
N,N,129.9899902,11,7,WCMB,1000589
N,N,29.98999023,4,3,WC,1000590
Y,N,29.98999023,4,3,NA,1000591
N,N,29.98999023,3,2,WC,1000592
Y,N,149.9899902,4,3,WCMB,1000593
Y,R,29.98999023,4,4,WCMB,1000594
N,N,29.98999023,1,1,NA,1000595
Y,N,149.9899902,4,3,WCMB,1000596
N,N,29.98999023,2,2,NA,1000597
Y,N,129.9899902,4,3,WCMB,1000598
N,R,29.98999023,5,3,WC,1000599
Y,R,9.989997864,7,4,WC,1000600
Y,N,149.9899902,3,2,WCMB,1000601
N,N,29.98999023,1,1,NA,1000602
N,N,29.98999023,3,1,NA,1000603
Y,N,129.9899902,5,3,WCMB,1000604
Y,N,29.98999023,2,2,NA,1000605
Y,N,79.98999023,5,4,WCMB,1000606
T,N,99.98999023,2,2,WCMB,1000607
N,N,29.98999023,1,1,NA,1000608
Y,N,129.9899902,5,4,WCMB,1000609
Y,N,79.98999023,7,4,WCMB,1000610
T,N,99.98999023,2,2,WCMB,1000611
N,N,129.9899902,7,5,WCMB,1000612
